sta      PGA_Z   PGA_X   PGA_Y   PGA_3D  PGA_H  triID        evtID
5AE83    2.35    0.76    0.69    2.57    1.03   1663471491   1663471478       20220918032437
5AE83    2.35    0.76    0.69    2.57    1.03   1663471491   1663471478       20220918032438
5AFE5    1.95    2.00    1.10    3.00    2.28   1657437012   1657436992       20220710070952
5AE1C    1.81    0.71    0.65    2.05    0.96   1666971054   1666971044       20221028153043
5AFE5    1.89    0.74    1.03    2.28    1.27   1668908992   1668908982       20221120014941
5AF48    2.86    0.77    0.76    3.05    1.08   1668474728   1668474690       20221115011130
5AF0F    2.65    0.62    0.61    2.78    0.87   1667206053   1667206108       20221031084827
5AE28    2.33    6.90    6.46    9.73    9.45   1663422146   1663422080       20220917134119
5AE0A    2.45    0.69    0.81    2.67    1.06   1668908992   1668908982       20221120014941
5AE06    1.93    1.72    1.25    2.88    2.13   1668908994   1668908982       20221120014941
5B00B    1.31    0.67    0.57    1.58    0.88   1657437002   1657436992       20220710070952
5AE29    3.75    1.15    1.91    4.37    2.23   1663471491   1663471478       20220918032437
5AE29    3.75    1.15    1.91    4.37    2.23   1663471491   1663471478       20220918032438
5AEBA    2.67    1.84    1.44    3.55    2.34   1668470840   1668470820       20221115000700
5AE6F    1.85    1.49    2.37    3.36    2.80   1663483491   1663483456       20220918064415
5AFDE    4.61    2.90    2.10    5.83    3.58   1663422099   1663422080       20220917134119
5AE21  111.59   74.93   64.71  149.19   99.01   1666676769   1666676838       20221025054717
5AE6F    1.30    0.75    0.90    1.75    1.17   1662526250   1662526244       20220907045043
5AF30    7.17    3.79    4.14    9.11    5.62   1658283598   1658283628       20220720022027
5AF8A    5.17    0.83    0.85    5.31    1.18   1655377264   1655377256       20220616110055
5AE28    1.36    0.65    0.71    1.67    0.96   1662015956   1662015986       20220901070625
5AE3E    2.04    7.46    5.06    9.24    9.02   1663553315   1663553266       20220919020745
5AFA8    1.90    0.62    0.78    2.15    1.00   1658616062   1658616050       20220723224050
5AF48    4.51    0.78    0.64    4.62    1.01   1663471491   1663471478       20220918032437
5AF48    4.51    0.78    0.64    4.62    1.01   1663471491   1663471478       20220918032438
5AF1E    1.16    0.52    0.69    1.45    0.87   1657437002   1657436992       20220710070952
5AE11    1.65    1.11    1.07    2.26    1.54   1665429902   1665429882       20221010192442
5AE6F    2.00    0.83    1.01    2.39    1.31   1663327861   1663327852       20220916113052
5B00B    1.44    1.28    0.88    2.12    1.56   1657788185   1657788174       20220714084254
5AF48    1.81    1.51    0.83    2.50    1.72   1665429902   1665429882       20221010192442
5AE1A    2.36    0.68    0.64    2.54    0.93   1667291429   1667291412       20221101083011
5AE29    1.72    1.02    0.93    2.21    1.38   1669484318   1669484284       20221126173804
5AF0F    1.92    1.59    1.64    2.98    2.28   1665429902   1665429882       20221010192442
5AFDE    2.49    3.93    2.84    5.45    4.85   1663478408   1663478360       20220918051919
5AF1E    1.43    1.20    1.46    2.37    1.88   1666727784   1666727764       20221025195604
5AE73    1.53    0.76    0.88    1.92    1.16   1658616063   1658616050       20220723224050
5AEAB    1.74    6.57    8.82   11.13   11.00   1663422145   1663422080       20220917134119
5AF20    1.49    0.78    0.77    1.85    1.10   1669484296   1669484284       20221126173804
5AEC4    3.44    0.59    0.96    3.62    1.13   1663471491   1663471478       20220918032437
5AEC4    3.44    0.59    0.96    3.62    1.13   1663471491   1663471478       20220918032438
5AF1E    1.83    0.75    0.70    2.10    1.03   1666971054   1666971044       20221028153043
5AE6F    2.16    6.47    9.44   11.65   11.45   1663478419   1663478360       20220918051919
5AFB5    1.98    0.64    0.61    2.17    0.88   1667268280   1667268162       20221101020241
5AFA8    1.82    0.59    1.00    2.15    1.16   1657437002   1657436992       20220710070952
8DD9B    2.27    0.69    0.63    2.45    0.93   1657437002   1657436992       20220710070952
5AE1C    2.04    1.85    2.08    3.45    2.78   1665429902   1665429882       20221010192442
5AF20    1.70    0.73    0.91    2.06    1.17   1667617466   1667617464       20221105030423
5ADEE    2.01    1.44    0.90    2.63    1.70   1669484300   1669484284       20221126173804
5AE3E    3.50    9.94    8.79   13.72   13.27   1663422146   1663422080       20220917134119
5AE29    2.54    0.87    0.76    2.79    1.15   1662526249   1662526244       20220907045043
5AEC4    3.21    2.41    2.94    4.97    3.80   1663483493   1663483456       20220918064415
5AFB5  358.56  209.74  134.61  436.66  249.21   1665475907   1665475910       20221011081150
5AE73    1.88    0.70    0.88    2.19    1.12   1666971055   1666971044       20221028153043
5AF1E    2.00    0.55    0.67    2.18    0.87   1667291429   1667291412       20221101083011
5AE98    1.49    1.72    2.59    3.45    3.11   1663483493   1663483456       20220918064415
5AE50    2.80    0.69    0.83    3.00    1.08   1663327861   1663327852       20220916113052
5AE3E    2.82    1.63    1.07    3.43    1.95   1666971054   1666971044       20221028153043
5AE82    1.65    0.82    0.67    1.96    1.06   1658706285   1658706272       20220724234432
5AE82    1.67    0.62    0.76    1.94    0.98   1667949986   1667949984       20221108232623
5AE82    1.32    1.14    1.41    2.25    1.82   1660908369   1660908356       20220819112556
8DD9B    1.82    2.07    2.18    3.52    3.01   1657281481   1657281468       20220708115748
5B00B    1.97    1.89    1.44    3.08    2.38   1668470840   1668470820       20221115000700
5AE11    1.29    0.73    0.78    1.67    1.07   1668908992   1668908982       20221120014941
5AF30    9.80    1.01    0.93    9.90    1.37   1663471491   1663471478       20220918032437
5AF30    9.80    1.01    0.93    9.90    1.37   1663471491   1663471478       20220918032438
5AE29    1.50    0.98    0.63    1.90    1.17   1658616075   1658616050       20220723224050
5B00B    1.53    0.58    0.63    1.75    0.85   1667291429   1667291412       20221101083011
8DD9B    3.76    4.56    3.00    6.63    5.46   1663483491   1663483456       20220918064415
5ADF9    2.03    4.29    4.89    6.81    6.50   1663422146   1663422080       20220917134119
5AF0F    1.96    0.62    0.77    2.20    0.99   1657763403   1657763476       20220714015116
5AE3E    1.32    0.76    0.76    1.70    1.07   1663500050   1663500002       20220918112002
5AE90    1.33    1.23    0.99    2.07    1.58   1670432084   1670432068       20221207165428
5AEE6    1.64    0.68    0.70    1.91    0.97   1668470831   1668470820       20221115000700
5AF0F    3.96    8.48    4.81   10.52    9.75   1666971063   1666971044       20221028153043
5AEE6    1.62    1.05    0.97    2.16    1.43   1657281474   1657281468       20220708115748
5AE1C    2.37    0.74    0.64    2.56    0.98   1655377264   1655377256       20220616110055
5AFB5    1.29    0.83    0.67    1.68    1.07   1668908994   1668908982       20221120014941
5AE0A    1.99    1.42    1.94    3.12    2.40   1668470840   1668470820       20221115000700
5AFE5    2.26    1.41    1.74    3.18    2.24   1665429902   1665429882       20221010192442
5AF30    4.32    3.25    3.46    6.42    4.75   1663483494   1663483456       20220918064415
5AE28    3.14    0.61    0.67    3.27    0.90   1656054613   1656054566       20220624070926
8DD9B    1.74    0.76    0.88    2.09    1.16   1668908992   1668908982       20221120014941
5AF48    1.76    0.64    0.61    1.96    0.88   1658616062   1658616050       20220723224050
5ADEE    2.01    1.44    0.90    2.63    1.70   1669484300   1669484284       20221126173804
5AE50    7.34    1.54    1.01    7.56    1.84   1656423771   1656423810       20220628134330
5AFA8    2.00    0.70    0.78    2.26    1.04   1666971053   1666971044       20221028153043
5AE83    1.83    3.93    1.67    4.65    4.27   1657437012   1657436992       20220710070952
5AE28    1.63    1.34    1.84    2.80    2.28   1662526249   1662526244       20220907045043
5AE28    1.58    1.01    0.84    2.05    1.31   1668908992   1668908982       20221120014941
5AE1C    3.21    1.10    0.93    3.52    1.44   1662526249   1662526244       20220907045043
5AE73    2.50    2.20    2.24    4.01    3.14   1665429902   1665429882       20221010192442
5AE98    0.96    0.68    1.36    1.80    1.53   1668908993   1668908982       20221120014941
5AF8A    1.63    0.95    1.04    2.15    1.41   1657437002   1657436992       20220710070952
5AE0A    2.29    1.01    0.71    2.60    1.24   1662526249   1662526244       20220907045043
5AE3E    4.21   14.81    9.54   18.11   17.61   1670432112   1670432068       20221207165428
5AE3E    3.10    1.97    1.34    3.91    2.38   1668908992   1668908982       20221120014941
5ADF9    1.54    0.87    0.68    1.89    1.10   1668908992   1668908982       20221120014941
5AF8A    1.48    0.67    0.68    1.76    0.95   1668470830   1668470820       20221115000700
5AE6F    1.36    0.67    0.82    1.72    1.05   1668908992   1668908982       20221120014941
5AFE5    1.97    0.86    0.68    2.26    1.10   1662526249   1662526244       20220907045043
5AFA8    5.94    1.14    1.44    6.22    1.84   1662526249   1662526244       20220907045043
5AE3E    2.89    7.84    6.59   10.64   10.24   1668810353   1668810326       20221118222525
5AE50    2.65   20.28   22.40   30.33   30.21   1663422145   1663422080       20220917134119
